DRAFT — not court-ready
source_filename: Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4
source_sha256: cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d
model_id: mlx-community/whisper-large-v3-mlx
asr_date: 2026-08-13T16:46:42Z
operator: ib-mac
pass: 1 local mlx-whisper large-v3 (harvested from verbose stdout)
timebase: file_elapsed on full WAV via --clip-timestamps 0,600; file was not cropped
coverage: ~00:00:36–00:08:48 of 02:22:54; job stopped after priority windows (skill §8 1–3)
gap: ~00:06:07–00:08:46 (no segments). Remainder of this file not transcribed.
Uncertain words: [INAUDIBLE] rather than guesses. Never court-ready.
start_ms	end_ms	text
36360	38040	Full of 14, county 61.
40140	48000	On ramp for the northbound 321 sign.
48300	52440	Black BMW, Lincoln Adam Victor, 9473.
52660	55500	Lincoln Adam Victor, 9473.
68240	69780	I apologize.
82400	84520	How you doing, sir?
85580	86460	Okay.
86460	86600	Okay.
89800	91539	Will you roll down your window some more?
94039	96460	Um, yeah, you made an improper turn back there.
96520	98640	You were in a straight lane, and you turned left.
100380	101180	Oh, shit.
101720	102720	I did that?
102900	104120	Yeah, you did do that.
104380	110300	Um, you also, just kind of driving like a little, I wouldn't say erratic, but just not smooth.
110420	111120	I've never been here before.
111220	111840	Does that make sense?
112120	112780	Yeah, it is.
112940	113300	Okay.
113500	114280	I've never been here before.
114280	114780	Do you smoke marijuana?
116460	117400	No, no, no.
117600	118259	No, not really?
118440	119640	Because I can smell something.
119979	121820	It smells a whole lot like marijuana to me.
123580	123980	Okay.
125540	126640	You got your ID with you?
127440	128720	I'm just looking for it.
128759	132540	I just had dinner at the Mexican place that I was parked at.
132920	134120	I don't know where it went.
136540	137520	I'm not sure.
138240	139320	You said you just had...
139320	139880	Right here, right here.
139880	140260	Okay.
140500	141740	Have you had anything to drink tonight?
142060	143720	Like three or four hours ago.
143780	144180	Three or four hours ago?
144200	145060	I just had the Mexican place.
145180	145579	Okay.
146460	147180	You still live in Charlotte?
147579	148079	Yes, sir.
148100	148920	That's my primary address.
149160	149380	Okay.
149520	151079	And is that where you're headed back to?
151640	152820	I'm not going to Boone.
152880	153660	You're going to Boone?
153760	153920	Okay.
154040	154360	Okay.
154540	156320	You got registration for the vehicle by chance?
156620	156980	Yes.
163140	164320	Is that your gun right there?
164460	164800	Yes, sir.
164880	165220	Okay.
165780	166760	I'm not going for it.
166860	167700	I appreciate it.
169380	171180	You can just set that on the dash right now.
171400	173360	Just, you know, keep your hands where we can see them, all right?
173360	174500	I'm not going for it.
174500	174800	I know.
174840	175040	I know.
175079	175960	I'm just letting you know.
176460	180020	allowed to have that. I mean, it's a concealed handgun, you know. It's not a big deal. Alright,
180080	186380	hang tight for me, okay? Actually, hold on. So, since I can smell the marijuana, my partner
186380	189800	just got here, that's why. I'm going to have you get out. I'm going to have you step out.
189900	190980	Nah, I'm going to have you get out, man.
194780	201060	Okay. Well, hey, I can search the vehicle for probable cause of marijuana, and I do
201060	207160	believe that you're probably impaired. Okay, so I'm just going to have you step out and
207160	214380	I'm going to conduct my investigation, okay? I got that, but I got to do my investigation
214380	222440	first. I got that. I need to conduct my investigation. Are you going to step out of the vehicle?
222440	226000	cool okay I appreciate that
236200	241740	come back here you're good come back here I know your gun was in the seat I'm
241740	244160	just gonna put your face your car I'm just gonna make sure you don't have an
244160	244280	I don't know.
244340	245360	I do not have a...
245360	246060	Okay, that's fine.
246180	246600	I don't...
246600	247480	I am...
247480	248800	It's just for our safety, okay?
248920	249660	Yeah, I totally understand.
249900	250080	All right.
250200	251540	I don't want to hit you guys too hard.
251620	252300	No, you're good, man.
253040	254100	Just hang tight for me, okay?
280600	283100	414 County 1027 1029 on the register.
283159	283460	I know.
296520	301820	I'm not disputing that, but I didn't realize there was a left turning lane at the intersection
301820	303360	because it's dark.
303420	304200	I've never been here before.
305140	305460	Okay.
306400	308780	So like I said, I'm going to search the car for a marijuana.
309880	311520	Is there anything else I'm going to find in the vehicle?
311680	312900	If you got a little bit of marijuana, I don't care.
313700	315200	Yeah, I got a little bit of marijuana.
315820	316800	I'm 42 years old.
317080	317740	Hey, that's cool.
317940	318560	Did nobody just give it to you?
318800	319760	No, I'm going to get it.
319840	320580	He's going to search it anyways.
320900	321900	I don't want you to get hit.
321960	323140	Will you just step over here in the grass?
323500	325760	It's in the cup holder.
325920	326600	Okay, all right.
326620	326920	That's cool.
327220	328120	Yeah, not a big deal.
328160	330800	Like I said, that I'm not, if it's a little bit of marijuana.
330960	333260	Did you get it from the CBD shop or anything like that?
334440	336700	Yeah, it's just a little concentrate in the little jar.
337040	338060	It's in the cup holder.
338140	338420	Go ahead.
338540	341120	I have like a little green pen that I scoop it with.
341120	345380	I have a little vape thing that I smoke it with.
347600	348659	I'm sorry guys.
349520	350200	10-4.
350920	352240	I'm a family man.
352360	355520	If you want to lean up and hit the front of the car, is that one?
355659	356100	Yes.
357960	360120	Just while he's charging it, that way you can...
361560	362920	I'm not just blocking it.
363440	365860	I'm telling you where the traffic is.
366640	367120	I'm not.
526480	527440	Oh, fuck.
527560	528340	Good luck, man.
